公司,年/月,季別,合併(Y/N),月份,幣別,資產總額,營業收入淨額
1201 味全,2024/09,3,Y,09,NTD,"18,009,061","17,746,414"
1201 味全,2024/06,2,Y,06,NTD,"18,037,344","11,240,318"
1201 味全,2024/03,1,Y,03,NTD,"17,809,392","5,334,450"
1201 味全,2023/12,4,Y,12,NTD,"18,027,715","21,476,354"
